City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cidreira,BR,78.26,overcast clouds,-30.1811,-50.2056,Hotel Castelo
2,Castro,BR,72.79,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
3,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
6,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
8,Dong Xoai,VN,70.21,few clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
12,Namibe,AO,74.17,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
13,Cape Town,ZA,70.0,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
14,Matara,LK,75.15,clear sky,5.9485,80.5353,Amaloh Boutique Resort
15,Rikitea,PF,78.93,few clouds,-23.1203,-134.9692,Pension Maro'i
16,Diego De Almagro,CL,84.13,clear sky,-26.3667,-70.05,hotel luna del desierto
18,Marsabit,KE,70.65,broken clouds,2.3284,37.9899,Chicho Hotel
20,Souillac,MU,80.6,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
26,Karratha,AU,86.59,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
28,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
29,Port Alfred,ZA,71.01,clear sky,-33.5906,26.891,The Halyards Hotel
31,Hilo,US,72.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
34,Pochutla,MX,89.6,clear sky,15.7432,-96.4661,Hotel Posada San Jose
37,Les Cayes,HT,80.78,clear sky,18.2,-73.75,Villa Orphee
43,Ambovombe,MG,79.0,clear sky,-25.1667,46.0833,RELAHARA
44,Agua Dulce,MX,80.6,scattered clouds,18.1333,-94.1333,Hotel Victoria
45,Bengkulu,ID,75.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Santiago,CL,75.2,scattered clouds,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
54,Kapaa,US,75.0,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
61,Butaritari,KI,80.53,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Santa Isabel Do Rio Negro,BR,85.98,overcast clouds,-0.4139,-65.0192,Hotel GSA
64,Itambe,BR,81.09,broken clouds,-15.245,-40.6244,Pousada San Remo
68,Mocuba,MZ,75.04,clear sky,-16.8392,36.9856,Phama Lodge
69,Saint-Philippe,RE,82.4,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Lorengau,PG,82.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
73,Barra Patuca,HN,81.82,broken clouds,15.8,-84.2833,
74,Alice Springs,AU,84.0,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
75,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
77,Anito,PH,76.77,broken clouds,12.4497,125.2886,The Yellow House
79,Qui Nhon,VN,70.74,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
80,Saint-Louis,SN,82.33,overcast clouds,16.3333,-15.0,
81,Ararangua,BR,80.49,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
82,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
83,Siay,PH,75.15,overcast clouds,7.6961,122.8631,Vergara Hot Spring Resort
86,Hithadhoo,MV,82.6,overcast clouds,-0.6,73.0833,Scoop Guest House
88,East London,ZA,75.42,few clouds,-33.0153,27.9116,Tu Casa
90,Coahuayana,MX,84.2,clear sky,18.7333,-103.6833,Hotel Los Arcos
91,Bambous Virieux,MU,81.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
92,Concepcion Del Uruguay,AR,75.0,overcast clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
97,Pisco,PE,80.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
98,Atuona,PF,78.33,overcast clouds,-9.8,-139.0333,Villa Enata
99,Carnarvon,AU,86.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
101,Hualmay,PE,77.2,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
113,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
115,Nuevo Laredo,MX,78.8,scattered clouds,27.4763,-99.5164,La Posada Hotel
123,Paka,MY,78.8,overcast clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
124,Comodoro Rivadavia,AR,75.2,scattered clouds,-45.8667,-67.5,Austral Hotel
126,Sabang,ID,81.61,broken clouds,5.8933,95.3214,Hotel Citra
130,Alofi,NU,77.0,light rain,-19.0595,-169.9187,Taloa Heights
131,Richards Bay,ZA,77.9,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
132,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Novotel Dakar
138,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
139,Hambantota,LK,77.13,broken clouds,6.1241,81.1185,Bungalow 63
141,San Patricio,US,82.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
143,Arraial Do Cabo,BR,86.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
152,Marawi,PH,73.99,overcast clouds,7.9986,124.2928,Derogongan Residence
157,Muisne,EC,80.6,broken clouds,0.6,-80.0333,Quinta Samay
160,Cabo San Lucas,MX,78.01,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
162,Sao Gabriel Da Cachoeira,BR,84.45,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
163,Byron Bay,AU,71.6,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
168,Lakeside,US,73.99,broken clouds,30.13,-81.7682,Whitey's Fish Camp
169,Meulaboh,ID,75.92,broken clouds,4.1363,96.1285,Kost Pria
170,Vila Velha,BR,84.2,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
174,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
179,Kahului,US,73.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
181,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
187,Riosucio,CO,84.2,few clouds,5.4216,-75.7032,Finca cafetera La Ermita
188,Sal Rei,CV,75.2,clear sky,16.1833,-22.9167,Marine Club Beach Resort
194,Linares,CL,71.62,overcast clouds,-35.85,-71.6,Hotel Real
195,Trairi,BR,82.62,scattered clouds,-3.2778,-39.2689,janelas do mar
200,Matias Romero,MX,80.62,overcast clouds,16.8833,-95.0333,Casa Don Gustavo
204,Saraland,US,75.0,few clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
205,Celestun,MX,77.97,clear sky,20.8667,-90.4,Posada Lilia
210,Rock Sound,BS,72.59,overcast clouds,24.9,-76.2,Rock Sound Club
211,Daru,PG,77.41,overcast clouds,-9.0763,143.2092,Daru Lodge
212,Dutse,NG,73.38,clear sky,11.7594,9.3392,Kaci
215,Tual,ID,81.45,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
216,Puerto Ayora,EC,86.0,clear sky,-0.7393,-90.3518,Castillo Galapagos
220,Faanui,PF,81.1,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
222,Atotonilco El Grande,MX,70.03,clear sky,20.2833,-98.6667,Cabañas San Isidro
226,Gladstone,AU,73.4,light rain,-23.85,151.25,Highpoint International
227,Pundaguitan,PH,80.06,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
229,Dicabisagan,PH,71.6,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
232,Zemio,CF,77.65,overcast clouds,5.0314,25.1361,OCHA Office
234,Port Hedland,AU,77.0,light rain,-20.3167,118.5667,The Esplanade Hotel
245,Tupi Paulista,BR,80.08,moderate rain,-21.3811,-51.5706,Hotel São Bento
247,Xuddur,SO,74.95,clear sky,4.1213,43.8894,Banjanay Hotel
248,Alta Floresta,BR,87.8,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
250,Coihueco,CL,73.4,scattered clouds,-36.6167,-71.8333,Frutillares Coihueco
256,Jacareacanga,BR,84.99,broken clouds,-6.2222,-57.7528,Casa do Ian😎
257,Male,MV,82.4,broken clouds,4.1748,73.5089,Hotel Octave Maldives
259,Buala,SB,81.7,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
260,Dapaong,TG,81.27,clear sky,10.8639,0.205,Hotel Caroli
