City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,78.26,86,100,7.4,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,55.4,58,75,2.3,broken clouds
2,Castro,BR,-24.7911,-50.0119,72.79,79,100,8.46,overcast clouds
3,Cockburn Town,TC,21.4612,-71.1419,78.8,53,40,12.66,scattered clouds
4,Sakaiminato,JP,35.55,133.2333,39.2,75,75,3.44,broken clouds
5,Eugene,US,44.0521,-123.0867,51.01,87,90,8.05,overcast clouds
6,Salalah,OM,17.0151,54.0924,71.6,64,0,3.44,clear sky
7,Kaitangata,NZ,-46.2817,169.8464,56.14,81,100,1.68,overcast clouds
8,Dong Xoai,VN,11.5333,106.9167,70.21,78,24,3.96,few clouds
9,Albany,US,42.6001,-73.9662,19.0,48,100,3.02,overcast clouds
10,Busselton,AU,-33.65,115.3333,63.0,83,0,1.99,clear sky
11,Hermanus,ZA,-34.4187,19.2345,64.99,92,100,3.0,light rain
12,Namibe,AO,-15.1961,12.1522,74.17,74,100,8.59,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,70.0,88,75,9.22,light rain
14,Matara,LK,5.9485,80.5353,75.15,87,5,5.97,clear sky
15,Rikitea,PF,-23.1203,-134.9692,78.93,64,16,9.13,few clouds
16,Diego De Almagro,CL,-26.3667,-70.05,84.13,16,0,13.71,clear sky
17,Port Elizabeth,ZA,-33.918,25.5701,69.8,83,20,13.8,few clouds
18,Marsabit,KE,2.3284,37.9899,70.65,40,53,9.95,broken clouds
19,Mataura,NZ,-46.1927,168.8643,60.6,66,68,2.13,broken clouds
20,Souillac,MU,-20.5167,57.5167,80.6,78,75,11.5,broken clouds
21,Vardo,NO,70.3705,31.1107,26.6,86,75,12.66,light snow
22,Awjilah,LY,29.1081,21.2869,65.41,26,0,11.63,clear sky
23,Anadyr,RU,64.75,177.4833,5.0,85,90,22.37,heavy snow
24,Salym,RU,60.0625,71.4789,4.75,95,95,4.25,overcast clouds
25,Sangar,RU,63.9242,127.4739,-46.14,77,99,4.97,overcast clouds
26,Karratha,AU,-20.7377,116.8463,86.59,53,98,14.56,overcast clouds
27,Ribeira Brava,PT,32.65,-17.0667,59.0,84,0,1.68,clear sky
28,Georgetown,MY,5.4112,100.3354,78.8,78,20,4.61,few clouds
29,Port Alfred,ZA,-33.5906,26.891,71.01,85,5,5.01,clear sky
30,Bluff,NZ,-46.6,168.3333,57.18,77,57,3.83,broken clouds
31,Hilo,US,19.7297,-155.09,72.0,78,90,8.05,light rain
32,Ponta Delgada,PT,37.7333,-25.6667,63.0,88,75,14.97,broken clouds
33,Tilichiki,RU,60.4667,166.1,-8.48,92,100,19.3,light snow
34,Pochutla,MX,15.7432,-96.4661,89.6,43,1,9.22,clear sky
35,Yar-Sale,RU,66.8333,70.8333,-7.82,91,99,7.23,overcast clouds
36,Olafsvik,IS,64.8945,-23.7142,29.28,96,100,10.83,light snow
37,Les Cayes,HT,18.2,-73.75,80.78,63,4,8.66,clear sky
38,Barrow,US,71.2906,-156.7887,-18.4,69,90,8.05,overcast clouds
39,Kodiak,US,57.79,-152.4072,26.6,54,1,9.51,clear sky
40,Litija,SI,46.0586,14.8225,32.0,91,100,2.33,overcast clouds
41,Ribeira Grande,PT,38.5167,-28.7,64.4,82,75,16.11,broken clouds
42,Marrakesh,MA,31.6315,-8.0083,64.4,52,0,8.05,clear sky
43,Ambovombe,MG,-25.1667,46.0833,79.0,82,5,4.12,clear sky
44,Agua Dulce,MX,18.1333,-94.1333,80.6,69,40,11.5,scattered clouds
45,Bengkulu,ID,-3.8004,102.2655,75.76,87,100,5.46,overcast clouds
46,Santiago,CL,-33.4569,-70.6483,75.2,43,40,4.61,scattered clouds
47,Hobart,AU,-42.8794,147.3294,57.2,82,20,8.05,few clouds
48,Kamenka,RU,51.3223,42.7678,21.99,97,14,8.99,few clouds
